player_id,name,club,status,match_score,ea_overall,detail
HUL22,Robinio Vaz,HUL,MATCHED,score=1.00,ea_overall=64,attrs_from_ea=25
IPS01,Alex Palmer,IPS,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=29
IPS02,Christian Walton,IPS,MATCHED,score=1.00,ea_overall=69,attrs_from_ea=29
IPS03,Darnell Furlong,IPS,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
IPS04,Wes Burns,IPS,MATCHED,score=0.96,ea_overall=72,attrs_from_ea=25
IPS05,Ben Johnson,IPS,AMBIGUOUS(2),,
IPS05,Ben Johnson,IPS,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
IPS06,Jacob Greaves,IPS,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
IPS07,Dara O'Shea,IPS,MATCHED,score=0.93,ea_overall=75,attrs_from_ea=25
IPS08,Leif Davis,IPS,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
IPS09,Azor Matusiwa,IPS,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
IPS10,Jack Taylor,IPS,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
IPS11,Marcelino Nunez,IPS,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
IPS12,Conor Chaplin,IPS,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
IPS13,Sammie Szmodics,IPS,MATCHED,score=0.90,ea_overall=74,attrs_from_ea=25
IPS14,Kasey McAteer,IPS,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
IPS15,Jaden Philogene,IPS,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
IPS16,Zian Flemming,IPS,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
IPS17,Chuba Akpom,IPS,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
IPS18,George Hirst,IPS,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
LEE01,Lucas Perri,LEE,AMBIGUOUS(2),,
LEE01,Lucas Perri,LEE,MATCHED,score=1.00,ea_overall=81,attrs_from_ea=29
LEE02,James Trafford,LEE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=29
LEE03,Michael Zetterer,LEE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=29
LEE04,Joe Rodon,LEE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
LEE05,Jaka Bijol,LEE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
LEE06,Nico Elvedi,LEE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
LEE07,Tarik Muharemovic,LEE,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
LEE08,Jayden Bogle,LEE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
LEE09,Gabriel Gudmundsson,LEE,AMBIGUOUS(2),,
LEE09,Gabriel Gudmundsson,LEE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
LEE10,Melvin Bard,LEE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
LEE11,Ethan Ampadu,LEE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
LEE12,Ilia Gruev,LEE,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
LEE13,Anton Stach,LEE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
LEE14,Ao Tanaka,LEE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
LEE15,Sean Longstaff,LEE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
LEE16,Brenden Aaronson,LEE,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
LEE17,Harry Wilson,LEE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
LEE18,Jean-Matteo Bahoya,LEE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
LEE19,Willy Gnonto,LEE,MATCHED,score=0.90,ea_overall=74,attrs_from_ea=25
